,,classifier duration,classifier duration,classifier duration,overtime,overtime,overtime
,,mean,median,max,sum,count,mean
subject,session,,,,,,
LTP462,0,0.20666355835763983,0.1848586797714225,1.367416858673095,0,114,0.0
LTP462,1,0.19345884952904993,0.18481957912445052,0.337436914443969,0,106,0.0
LTP468,0,0.21232357350262687,0.197433471679687,0.44016385078430104,0,88,0.0
LTP468,1,0.1902200908077001,0.18117928504943803,0.44447493553161604,0,98,0.0
LTP470,0,0.2152232690290966,0.20196592807769753,0.5062241554260251,0,88,0.0
LTP470,1,0.23586241571526734,0.202839136123657,0.5094809532165521,0,97,0.0
LTP473,0,0.21143957116137932,0.19332981109619102,0.46643590927124,0,88,0.0
LTP473,1,0.19925574177787375,0.18782758712768502,0.5453109741210931,0,84,0.0
LTP474,0,0.278787554320642,0.19403290748596153,3.001277923583984,0,118,0.0
LTP474,1,0.19423129684046647,0.183312535285949,0.388925313949584,0,114,0.0
LTP475,0,0.22796955389134974,0.21259522438049303,0.45210313796997004,0,85,0.0
LTP475,1,0.19252767108735536,0.183771848678588,0.33548092842102,0,106,0.0
LTP476,0,0.18615358216421893,0.178991079330444,0.322192907333374,0,99,0.0
LTP476,1,0.20698729356129916,0.190934538841247,0.525151014328002,0,90,0.0
LTP477,0,0.22481011403234336,0.19609260559082,0.5789473056793211,0,78,0.0
LTP477,1,0.21445232133070577,0.19321560859680104,0.654313325881958,0,96,0.0
LTP478,0,0.2149530458450313,0.20133495330810502,0.5529849529266351,0,101,0.0
LTP478,1,34.512296034160414,0.555431127548217,99.0070059299469,46,98,0.46938775510204084
LTP478,2,0.20128859482802305,0.190007925033569,0.341116905212402,0,77,0.0
LTP478,3,28.06335276482152,12.656556844711304,66.29950189590454,79,104,0.7596153846153846
LTP479,0,0.22064043195159297,0.20443916320800704,0.6568329334259031,0,108,0.0
LTP479,1,0.20568131963047365,0.19541406631469702,0.45272684097290006,0,109,0.0
LTP479,2,48.70183538903996,51.1154590845108,144.9411358833313,55,101,0.5445544554455446
LTP479,3,67.3291404063885,83.73885905742645,129.4805290699005,78,84,0.9285714285714286
LTP481,0,0.5520350180174171,0.22436690330505352,7.312903881072998,3,114,0.02631578947368421
LTP481,1,0.2055286951739373,0.18539595603942802,0.7682280540466301,0,100,0.0
LTP481,2,31.157695055007935,0.5596739053726191,90.19791674613953,53,113,0.4690265486725664
LTP481,3,0.19382488260082129,0.18600058555603,0.35148286819458,0,102,0.0
LTP484,0,0.21695094744364374,0.19190287590026803,1.4877450466156001,0,75,0.0
LTP484,1,0.19806880493686574,0.18709802627563402,0.43258404731750405,0,75,0.0
LTP484,2,0.21012198150931963,0.194308757781982,0.6038100719451901,0,78,0.0
LTP484,3,0.19884226163228302,0.189749002456665,0.308005094528198,0,75,0.0
LTP486,0,0.1843840281168615,0.179271936416625,0.259907007217407,0,111,0.0
LTP486,1,0.1882132844227112,0.177434682846069,0.45603990554809504,0,82,0.0
LTP486,2,0.24885345747073448,0.19028341770172053,4.41963005065918,0,97,0.0
LTP486,3,0.18777825092447167,0.17958903312683103,0.33885788917541504,0,87,0.0
LTP488,0,0.1795663297176357,0.17456710338592502,0.271098136901855,0,80,0.0
LTP488,1,0.20099305456334846,0.1893656253814695,0.412616968154907,0,111,0.0
LTP488,2,0.19297683238983104,0.179712891578674,0.514260053634643,0,116,0.0
LTP488,3,0.22283778628524425,0.212692737579345,0.5210580825805661,0,99,0.0
LTP493,0,0.2570616648747366,0.190677881240844,3.96628189086914,0,91,0.0
LTP493,1,0.2163589233305392,0.18235957622528,1.5475478172302242,0,82,0.0
LTP493,2,0.33410190902979986,0.232144832611083,4.72969913482666,0,115,0.0
LTP493,3,0.19592318996306343,0.18728494644165,0.48523497581481906,0,93,0.0
LTP494,0,0.18800339158975807,0.18343901634216253,0.261327028274536,0,107,0.0
LTP494,1,0.1922865911405909,0.182343006134033,0.340353965759277,0,98,0.0
LTP494,2,3.649973228139784,0.21062016487121502,18.308238744735718,24,103,0.23300970873786409
LTP494,3,0.48723760339402616,0.277487993240356,3.042678117752075,0,99,0.0
LTP495,0,0.1982077816699409,0.1827989816665645,0.475005865097045,0,94,0.0
LTP495,1,0.7586574847238102,0.30368053913116455,3.787032127380371,0,118,0.0
LTP495,2,0.2178777860743654,0.210308909416198,0.35905790328979403,0,112,0.0
LTP495,3,0.20592310769217306,0.194257974624633,0.520299196243286,0,106,0.0
LTP496,0,0.19432162452530033,0.18571400642395,0.303476333618164,0,91,0.0
LTP496,1,0.20211628261877518,0.18750298023223852,0.42968201637268005,0,99,0.0
LTP496,2,0.21059326867799452,0.19901299476623502,0.46003508567810003,0,111,0.0
LTP496,3,0.19765385734700663,0.180615186691284,0.9613771438598631,0,108,0.0
LTP497,0,0.19796068995606625,0.189675450325012,0.33702111244201605,0,103,0.0
LTP497,1,0.1988495660864784,0.18860387802124,0.406198024749755,0,116,0.0
LTP497,2,0.18125326944434078,0.175602912902832,0.24767637252807603,0,115,0.0
LTP497,3,0.19194472773691193,0.18281292915344202,0.43452787399291903,0,91,0.0
LTP498,0,0.2296578236568117,0.200313091278076,0.7999911308288571,0,81,0.0
LTP498,1,21.99024981585416,0.44942653179168707,76.02799701690674,53,117,0.452991452991453
LTP498,2,0.19160878769705184,0.180830955505371,0.6407229900360101,0,108,0.0
LTP498,3,0.19506683778226996,0.18770217895507801,0.362799882888793,0,89,0.0
LTP500,0,0.2028845781865323,0.1918165683746335,0.43364787101745605,0,92,0.0
LTP500,1,0.21475821860293076,0.20201694965362502,0.60280704498291,0,94,0.0
LTP500,2,0.17949071908608405,0.17565178871154702,0.23611688613891602,0,39,0.0
LTP500,3,0.19162086611208656,0.18532800674438402,0.290300846099853,0,115,0.0
