,,classifier duration,classifier duration,classifier duration,overtime,overtime,overtime,bad_session
,,mean,median,max,sum,count,mean,
subject,session,,,,,,,
LTP462,0,0.20666355835763983,0.1848586797714225,1.367416858673095,0,114,0.0,False
LTP462,1,0.1934588495290499,0.18481957912445052,0.337436914443969,0,106,0.0,False
LTP468,0,0.21232357350262687,0.197433471679687,0.440163850784301,0,88,0.0,False
LTP468,1,0.1902200908077001,0.181179285049438,0.444474935531616,0,98,0.0,False
LTP470,0,0.2152232690290966,0.2019659280776975,0.5062241554260251,0,88,0.0,False
LTP470,1,0.2358624157152673,0.202839136123657,0.5094809532165521,0,97,0.0,False
LTP473,0,0.21143957116137932,0.193329811096191,0.46643590927124,0,88,0.0,False
LTP473,1,0.19925574177787375,0.187827587127685,0.5453109741210931,0,84,0.0,False
LTP474,0,0.278787554320642,0.1940329074859615,3.001277923583984,0,118,0.0,False
LTP474,1,0.19423129684046644,0.18331253528594899,0.388925313949584,0,114,0.0,False
LTP475,0,0.2279695538913497,0.212595224380493,0.45210313796997,0,85,0.0,False
LTP475,1,0.19252767108735536,0.183771848678588,0.33548092842102,0,106,0.0,False
LTP476,0,0.1861535821642189,0.178991079330444,0.322192907333374,0,99,0.0,False
LTP476,1,0.20698729356129916,0.190934538841247,0.525151014328002,0,90,0.0,False
LTP477,0,0.22481011403234336,0.19609260559082,0.5789473056793211,0,78,0.0,False
LTP477,1,0.21445232133070577,0.19321560859680098,0.654313325881958,0,96,0.0,False
LTP478,0,0.21495304584503128,0.201334953308105,0.5529849529266351,0,101,0.0,False
LTP478,1,34.512296034160414,0.555431127548217,99.0070059299469,46,98,0.46938775510204084,True
LTP478,2,0.20128859482802303,0.190007925033569,0.341116905212402,0,77,0.0,False
LTP478,3,28.06335276482152,12.656556844711304,66.29950189590454,79,104,0.7596153846153846,True
LTP479,0,0.22064043195159294,0.204439163208007,0.6568329334259031,0,108,0.0,False
LTP479,1,0.2056813196304736,0.195414066314697,0.4527268409729,0,109,0.0,False
LTP479,2,48.70183538903996,51.1154590845108,144.9411358833313,55,101,0.5445544554455446,True
LTP479,3,67.3291404063885,83.73885905742645,129.4805290699005,78,84,0.9285714285714286,True
LTP481,0,0.5520350180174171,0.2243669033050535,7.312903881072998,3,114,0.02631578947368421,False
LTP481,1,0.2055286951739373,0.185395956039428,0.7682280540466301,0,100,0.0,False
LTP481,2,31.157695055007935,0.559673905372619,90.19791674613953,53,113,0.4690265486725664,True
LTP481,3,0.19382488260082129,0.18600058555603,0.35148286819458,0,102,0.0,False
LTP484,0,0.21695094744364374,0.191902875900268,1.4877450466156,0,75,0.0,False
LTP484,1,0.19806880493686574,0.187098026275634,0.432584047317504,0,75,0.0,False
LTP484,2,0.21012198150931963,0.194308757781982,0.6038100719451901,0,78,0.0,False
LTP484,3,0.19884226163228302,0.189749002456665,0.308005094528198,0,75,0.0,False
LTP486,0,0.1843840281168615,0.179271936416625,0.259907007217407,0,111,0.0,False
LTP486,1,0.18821328442271118,0.177434682846069,0.456039905548095,0,82,0.0,False
LTP486,2,0.24885345747073448,0.19028341770172053,4.41963005065918,0,97,0.0,False
LTP486,3,0.18777825092447167,0.179589033126831,0.338857889175415,0,87,0.0,False
LTP488,0,0.17956632971763567,0.17456710338592502,0.271098136901855,0,80,0.0,False
LTP488,1,0.20099305456334846,0.1893656253814695,0.412616968154907,0,111,0.0,False
LTP488,2,0.19297683238983102,0.17971289157867398,0.514260053634643,0,116,0.0,False
LTP488,3,0.22283778628524423,0.212692737579345,0.5210580825805661,0,99,0.0,False
LTP493,0,0.2570616648747366,0.190677881240844,3.96628189086914,0,91,0.0,False
LTP493,1,0.2163589233305392,0.18235957622527998,1.5475478172302242,0,82,0.0,False
LTP493,2,0.33410190902979986,0.232144832611083,4.72969913482666,0,115,0.0,False
LTP493,3,0.19592318996306343,0.18728494644165,0.485234975814819,0,93,0.0,False
LTP494,0,0.18800339158975807,0.1834390163421625,0.261327028274536,0,107,0.0,False
LTP494,1,0.19228659114059085,0.18234300613403298,0.340353965759277,0,98,0.0,False
LTP494,2,3.649973228139784,0.210620164871215,18.30823874473572,24,103,0.23300970873786409,True
LTP494,3,0.48723760339402616,0.277487993240356,3.042678117752075,0,99,0.0,False
LTP495,0,0.1982077816699409,0.1827989816665645,0.475005865097045,0,94,0.0,False
LTP495,1,0.7586574847238102,0.3036805391311645,3.787032127380371,0,118,0.0,False
LTP495,2,0.2178777860743654,0.210308909416198,0.359057903289794,0,112,0.0,False
LTP495,3,0.20592310769217306,0.194257974624633,0.520299196243286,0,106,0.0,False
LTP496,0,0.19432162452530027,0.18571400642395,0.303476333618164,0,91,0.0,False
LTP496,1,0.20211628261877518,0.1875029802322385,0.42968201637268,0,99,0.0,False
LTP496,2,0.21059326867799452,0.199012994766235,0.4600350856781,0,111,0.0,False
LTP496,3,0.19765385734700663,0.180615186691284,0.9613771438598632,0,108,0.0,False
LTP497,0,0.1979606899560662,0.18967545032501198,0.337021112442016,0,103,0.0,False
LTP497,1,0.1988495660864784,0.18860387802124,0.406198024749755,0,116,0.0,False
LTP497,2,0.18125326944434078,0.175602912902832,0.247676372528076,0,115,0.0,False
LTP497,3,0.1919447277369119,0.182812929153442,0.434527873992919,0,91,0.0,False
LTP498,0,0.2296578236568117,0.200313091278076,0.7999911308288571,0,81,0.0,False
LTP498,1,21.99024981585416,0.449426531791687,76.02799701690674,53,117,0.452991452991453,True
LTP498,2,0.19160878769705178,0.180830955505371,0.6407229900360101,0,108,0.0,False
LTP498,3,0.19506683778226996,0.187702178955078,0.362799882888793,0,89,0.0,False
LTP500,0,0.2028845781865323,0.1918165683746335,0.433647871017456,0,92,0.0,False
LTP500,1,0.21475821860293076,0.202016949653625,0.60280704498291,0,94,0.0,False
LTP500,2,0.17949071908608402,0.175651788711547,0.236116886138916,0,39,0.0,False
LTP500,3,0.19162086611208656,0.185328006744384,0.290300846099853,0,115,0.0,False
